Id,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,,resale_price,full_address,X_coordinates,Y_coordinates,Closest_Mrt,Mrt_Distance,Price Index
1,2017-01,HOUGANG,2 ROOM,10 TO 12,47,Model A,2012,94 years 04 months,94,252000,986A BUANGKOK CRES,1.381916946,103.8798037,Buangkok mrt,1.487183778,133.9
2,2017-01,HOUGANG,3 ROOM,01 TO 03,73,New Generation,1978,60 years 04 months,,260000,22 HOUGANG AVE 3,1.364285424,103.8904679,Hougang mrt,0.698056154,133.9
3,2017-01,HOUGANG,3 ROOM,01 TO 03,60,Improved,1987,69 years,,268000,644 HOUGANG AVE 8,1.371437365,103.8812611,Hougang mrt,1.230295842,133.9
4,2017-01,HOUGANG,3 ROOM,01 TO 03,67,New Generation,1978,60 years 05 months,,269000,24 HOUGANG AVE 3,1.365512261,103.8920855,Hougang mrt,0.533604092,133.9
5,2017-01,HOUGANG,3 ROOM,01 TO 03,67,New Generation,1984,66 years 03 months,,270000,108 HOUGANG AVE 1,1.352773933,103.8900932,Kovan mrt,1.0046931,133.9
6,2017-01,HOUGANG,3 ROOM,01 TO 03,60,Improved,1985,67 years 09 months,,275000,619 HOUGANG AVE 8,1.369847708,103.8837012,Hougang mrt,0.954207136,133.9
7,2017-01,HOUGANG,3 ROOM,04 TO 06,69,Improved,1985,67 years 06 months,,280000,623 HOUGANG AVE 8,1.370513873,103.8823235,Hougang mrt,1.106184873,133.9
8,2017-01,HOUGANG,3 ROOM,04 TO 06,68,New Generation,1983,65 years 04 months,,285000,311 HOUGANG AVE 5,1.365667331,103.8948537,Hougang mrt,0.591236191,133.9
9,2017-01,HOUGANG,3 ROOM,04 TO 06,64,Simplified,1986,68 years 04 months,,290000,501 HOUGANG AVE 8,1.372052696,103.8865314,Hougang mrt,0.665411278,133.9
10,2017-01,HOUGANG,3 ROOM,07 TO 09,64,Simplified,1986,68 years 09 months,,290000,698 HOUGANG ST 61,1.37506139,103.8869105,Hougang mrt,0.792350354,133.9
11,2017-01,HOUGANG,3 ROOM,04 TO 06,64,Simplified,1986,68 years 09 months,,292000,698 HOUGANG ST 61,1.37506139,103.8869105,Hougang mrt,0.792350354,133.9
12,2017-01,HOUGANG,3 ROOM,01 TO 03,67,New Generation,1983,65 years,,292000,307 HOUGANG AVE 5,1.366659994,103.8950097,Hougang mrt,0.508554792,133.9
13,2017-01,HOUGANG,3 ROOM,07 TO 09,73,New Generation,1978,60 years 04 months,,305000,21 HOUGANG AVE 3,1.364245984,103.8914777,Hougang mrt,0.678892654,133.9
14,2017-01,HOUGANG,3 ROOM,10 TO 12,67,New Generation,1983,65 years 02 months,,308000,322 HOUGANG AVE 5,1.367098554,103.8969787,Hougang mrt,0.63530279,133.9
15,2017-01,HOUGANG,3 ROOM,07 TO 09,67,New Generation,1983,65 years 09 months,,309888,308 HOUGANG AVE 5,1.366809108,103.895756,Hougang mrt,0.55063278,133.9
16,2017-01,HOUGANG,3 ROOM,04 TO 06,67,New Generation,1984,66 years 11 months,,316500,154 HOUGANG ST 11,1.352202953,103.8801732,Serangoon mrt,0.841788129,133.9
17,2017-01,HOUGANG,4 ROOM,07 TO 09,98,New Generation,1985,67 years 10 months,,320000,339 HOUGANG AVE 7,1.370025457,103.8985723,Hougang mrt,0.703118919,133.9
18,2017-01,HOUGANG,4 ROOM,01 TO 03,85,Simplified,1989,71 years 07 months,,335000,681 HOUGANG AVE 8,1.372978403,103.8856792,Hougang mrt,0.788730304,133.9
19,2017-01,HOUGANG,4 ROOM,01 TO 03,93,New Generation,1993,75 years 03 months,,338000,314 HOUGANG AVE 5,1.364764652,103.8942188,Hougang mrt,0.653284167,133.9
20,2017-01,HOUGANG,4 ROOM,01 TO 03,91,New Generation,1985,67 years 05 months,,350000,336 HOUGANG AVE 7,1.36930321,103.8983512,Hougang mrt,0.687212742,133.9
21,2017-01,HOUGANG,4 ROOM,04 TO 06,93,New Generation,1983,65 years 01 month,,353000,321 HOUGANG AVE 5,1.367101312,103.898278,Hougang mrt,0.759017874,133.9
22,2017-01,HOUGANG,4 ROOM,10 TO 12,84,Simplified,1985,67 years 07 months,,357000,602 HOUGANG AVE 4,1.371232979,103.886918,Hougang mrt,0.602932714,133.9
23,2017-01,HOUGANG,4 ROOM,04 TO 06,91,New Generation,1985,67 years 06 months,,358000,709 HOUGANG AVE 2,1.367061427,103.8880773,Hougang mrt,0.589797808,133.9
24,2017-01,HOUGANG,4 ROOM,01 TO 03,104,Model A,1987,69 years,,360000,674 HOUGANG AVE 8,1.372172878,103.8846458,Hougang mrt,0.871593806,133.9
