Id,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,full_address,X_coordinates,Y_coordinates,Closest_Mrt,Mrt_Distance,Price Index
1,2017-01,SERANGOON,3 ROOM,04 TO 06,67,New Generation,1985,67 years 04 months,292000,225 SERANGOON AVE 4,1.35673481,103.8701137,Serangoon mrt,0.736636269,133.9
2,2017-01,SERANGOON,3 ROOM,01 TO 03,73,Improved,1978,60 years 04 months,318000,4 LOR LEW LIAN,1.350262004,103.8764851,Serangoon mrt,0.415296502,133.9
3,2017-01,SERANGOON,3 ROOM,10 TO 12,67,New Generation,1984,66 years 11 months,319000,219 SERANGOON AVE 4,1.358358825,103.872182,Serangoon mrt,0.856730916,133.9
4,2017-01,SERANGOON,3 ROOM,01 TO 03,64,Improved,1978,60 years 04 months,320000,4 LOR LEW LIAN,1.350262004,103.8764851,Serangoon mrt,0.415296502,133.9
5,2017-01,SERANGOON,3 ROOM,01 TO 03,73,New Generation,1985,67 years 03 months,320000,311 SERANGOON AVE 2,1.353762881,103.8663265,Lorong Chuan mrt,0.29881361,133.9
6,2017-01,SERANGOON,3 ROOM,07 TO 09,67,New Generation,1984,66 years 11 months,320000,221 SERANGOON AVE 4,1.359146061,103.8718109,Serangoon mrt,0.94731619,133.9
7,2017-01,SERANGOON,3 ROOM,10 TO 12,73,Improved,1983,65 years 05 months,377000,2 LOR LEW LIAN,1.35052006,103.8755605,Serangoon mrt,0.31062235,133.9
8,2017-01,SERANGOON,4 ROOM,04 TO 06,93,New Generation,1985,67 years 02 months,355000,101 SERANGOON NTH AVE 1,1.37103632,103.8703609,Kovan mrt,1.99747614,133.9
9,2017-01,SERANGOON,4 ROOM,01 TO 03,83,Simplified,1987,69 years 06 months,370000,144 SERANGOON NTH AVE 1,1.367781392,103.8730413,Kovan mrt,1.543957219,133.9
10,2017-01,SERANGOON,4 ROOM,04 TO 06,91,New Generation,1985,67 years 05 months,390000,109 SERANGOON NTH AVE 1,1.369433518,103.8705114,Kovan mrt,1.879497341,133.9
11,2017-01,SERANGOON,4 ROOM,01 TO 03,99,New Generation,1985,67 years 08 months,420000,222 SERANGOON AVE 4,1.358429525,103.871224,Serangoon mrt,0.879070045,133.9
12,2017-01,SERANGOON,4 ROOM,04 TO 06,95,New Generation,1985,67 years 09 months,472000,307 SERANGOON AVE 2,1.354628177,103.8670687,Lorong Chuan mrt,0.424653198,133.9
13,2017-01,SERANGOON,4 ROOM,01 TO 03,105,Model A,1989,71 years 01 month,550000,401 SERANGOON AVE 1,1.346265987,103.8731998,Serangoon mrt,0.48529479,133.9
14,2017-01,SERANGOON,4 ROOM,04 TO 06,109,Model A,1989,71 years 02 months,560000,407 SERANGOON AVE 1,1.34718613,103.8729682,Serangoon mrt,0.381832142,133.9
15,2017-01,SERANGOON,4 ROOM,10 TO 12,103,Model A,1989,71 years 10 months,593000,420 SERANGOON CTRL,1.349149109,103.875117,Serangoon mrt,0.308340232,133.9
16,2017-01,SERANGOON,4 ROOM,07 TO 09,109,Model A,1989,71 years 02 months,625000,407 SERANGOON AVE 1,1.34718613,103.8729682,Serangoon mrt,0.381832142,133.9
17,2017-01,SERANGOON,EXECUTIVE,04 TO 06,145,Apartment,1992,74 years 10 months,640000,506 SERANGOON NTH AVE 4,1.372816319,103.8763397,Kovan mrt,1.692002038,133.9
18,2017-01,SERANGOON,EXECUTIVE,07 TO 09,147,Maisonette,1992,74 years 10 months,645000,542 SERANGOON NTH AVE 4,1.374091168,103.8718897,Kovan mrt,2.104640621,133.9
19,2017-01,SERANGOON,EXECUTIVE,07 TO 09,153,Apartment,1992,74 years 10 months,708000,537 SERANGOON NTH AVE 4,1.373860578,103.8730179,Kovan mrt,2.003406342,133.9
20,2017-01,SERANGOON,EXECUTIVE,04 TO 06,156,Maisonette,1992,74 years 10 months,735000,525 SERANGOON NTH AVE 4,1.372143204,103.872737,Kovan mrt,1.88263898,133.9
21,2017-02,SERANGOON,3 ROOM,10 TO 12,60,Improved,1985,67 years,253000,108 SERANGOON NTH AVE 1,1.369901403,103.8712068,Kovan mrt,1.846444532,133.9
22,2017-02,SERANGOON,3 ROOM,01 TO 03,67,New Generation,1985,67 years 01 month,260000,113 SERANGOON NTH AVE 1,1.368776829,103.8704749,Kovan mrt,1.843196139,133.9
23,2017-02,SERANGOON,3 ROOM,10 TO 12,60,Improved,1985,67 years 02 months,268000,105 SERANGOON NTH AVE 1,1.370247459,103.870226,Kovan mrt,1.957088713,133.9
24,2017-02,SERANGOON,3 ROOM,04 TO 06,64,Simplified,1986,68 years 06 months,275000,153 SERANGOON NTH AVE 1,1.369950997,103.8723123,Kovan mrt,1.75293895,133.9
25,2017-02,SERANGOON,3 ROOM,04 TO 06,67,New Generation,1985,67 years 03 months,300000,215 SERANGOON AVE 4,1.357865328,103.8734248,Serangoon mrt,0.802943062,133.9
26,2017-02,SERANGOON,3 ROOM,04 TO 06,64,Simplified,1988,70 years 05 months,348000,253 SERANGOON CTRL DR,1.354039398,103.8708515,Serangoon mrt,0.432996282,133.9
27,2017-02,SERANGOON,3 ROOM,07 TO 09,64,Simplified,1985,67 years 10 months,365000,323 SERANGOON AVE 3,1.351168574,103.8694085,Serangoon mrt,0.378930841,133.9
28,2017-02,SERANGOON,3 ROOM,04 TO 06,64,Simplified,1986,67 years 11 months,400000,203 SERANGOON CTRL,1.352078409,103.8732889,Serangoon mrt,0.169811168,133.9
29,2017-02,SERANGOON,4 ROOM,01 TO 03,91,New Generation,1985,67 years 07 months,336000,103 SERANGOON NTH AVE 1,1.37067353,103.8702639,Kovan mrt,1.981618688,133.9
30,2017-02,SERANGOON,4 ROOM,07 TO 09,91,New Generation,1985,67 years 03 months,350000,109 SERANGOON NTH AVE 1,1.369433518,103.8705114,Kovan mrt,1.879497341,133.9
